,ResponseId_x,PROFICIENCY_01_pre,PROFICIENCY_02_pre,PROFICIENCY_03_pre,PROFICIENCY_04_pre,PRIOR_01_pre,PRIOR_02_pre,PRIOR_02_17_TEXT_pre,PRIOR_04_pre,BELONG_01_pre,MENTOR_02_pre,MENTOR_03_pre,ACCESS_01_pre,ACCESS_01_7_TEXT_pre,START_pre,TIME_IN_PROGRAM_pre,MENTOR_08_pre,END_pre,CLUSTER_SIZE_pre,HUB_01_pre,ResponseId_y,HUB_01_post,PROFICIENCY_01_post,PROFICIENCY_02_post,PROFICIENCY_03_post,PROFICIENCY_04_post,PRIOR_01_post,PRIOR_02_post,PRIOR_02_17_TEXT_post,PRIOR_04_post,BELONG_01_post,MENTOR_02_post,MENTOR_03_post,MENTOR_08_post,ACCESS_01_post,ACCESS_01_7_TEXT_post,END_post,TIME_IN_PROGRAM_post,START_post,CLUSTER_SIZE_post
32,R_3DSEL6oHwQLDoZn,Fair,Very Good,Very Good,Fair,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,,Agree,Somewhat Agree,Agree,"Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra') ,I did not have the skills I felt I needed to build before I could engage in research,I didn't know where to look",,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,4.0,CICI,R_7OuDjbQ4RTptV91,CICI,Very Good,Excellent,Excellent,Excellent,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,,Agree,Agree,Agree,1-2 hrs/wk,My academic workload and responsibilities,,2026_05_16,2.0,2025_10_01,4.0
33,R_35T2dDOomU3WvHU,Very Good,Fair,Excellent,Very Good,Yes,Seminar or conference,,,Somewhat Agree,Agree,Somewhat Agree,"My academic workload and responsibilities,My job responsibilties and work hours,Too few or no positions available in my major,I applied, but did not secure a position,Transportation to/from research site (cost or time)",,2025_10_01,2.0,3-4 hrs/week,2026_05_16,4.0,CICI,R_7dSiw4U4KbHApJx,CICI,Good,Good,Good,Fair,Yes,Other,,,Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,"My academic workload and responsibilities,My job responsibilties and work hours",,2026_05_16,2.0,2025_10_01,4.0
34,R_31ns78IBAv3uWEP,Excellent,Excellent,Excellent,Good,Yes,Friend or acquaintance connected me to a research group,,,Somewhat Agree,Strongly Agree,Strongly Agree,"My academic workload and responsibilities,I did not have the skills I felt I needed to build before I could engage in research,Too few or no positions available in my major,I applied, but did not secure a position,I didn't know where to look,I didn't know how to approach or reach out to a lab or researcher to join their project",,2025_10_01,2.0,More than 5 hrs/week,2026_05_16,4.0,Kavli ENSI,R_5dSQrC91RGQvZbH,Kavli ENSI,Excellent,Fair,Excellent,Excellent,Yes,"Reached out directly to a professor,Friend or acquaintance connected me to a research group",,Learn more about physics,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,My academic workload and responsibilities,,2026_05_16,2.0,2025_10_01,4.0
35,R_1zHhu9N40ciYnVI,Very Good,Very Good,Very Good,Very Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,,Somewhat Agree,Agree,Agree,"I applied, but did not secure a position,I didn't know where to look",,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,5.0,CICI,R_1lzQKu7IygoNNMK,CICI,Excellent,Excellent,Excellent,Excellent,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,,Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,,,2026_05_16,2.0,2025_10_01,5.0
36,R_1scby3FsYpnB8Cm,Fair,Fair,Fair,Fair,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,,Somewhat Agree,Agree,Agree,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments",,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,3.0,CICI,R_7NXloOmdfSTc8GK,CICI,Excellent,Excellent,Excellent,Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,I feel like I have a better understanding of how important and valuable having mentorship Incorporated in your academic and professional Journey can be. Also I feel more confident in my ability to pursue and get into graduate school,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments,Transportation to/from research site (cost or time)",,2026_05_16,2.0,2025_10_01,3.0
37,R_1fvZbQCo4fm81k7,Very Good,Very Good,Excellent,Excellent,Yes,"Participated in this program in a previous academic term,Reached out directly to a professor",,,Strongly Agree,Strongly Agree,Strongly Agree,"Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra'),Too few or no positions available in my major,Too few or no positions available for students in my year,I applied, but did not secure a position",,2026_02_28,1.0,1-2 hrs/wk,2026_05_16,,Molecular Foundry,R_7VMAlfwWAAuwx2N,Molecular Foundry,Excellent,Excellent,Excellent,Excellent,Yes,Reached out directly to a professor,,,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"My academic workload and responsibilities,Transportation to/from research site (cost or time)",,2026_05_16,1.0,2026_02_28,
38,R_1OIN2rNuBj33sV2,Excellent,Very Good,Excellent,Good,Yes,Participated in this program in a previous academic term,,,Agree,Agree,Agree,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra') ,Too few or no positions available in my major",,2025_10_01,1.0,1-2 hrs/wk,2025_12_13,1.0,Kavli ENSI,R_6xXgBdOFTpbx9qF,Kavli ENSI,Very Good,Very Good,Very Good,Very Good,No,,,"Discovery Hub has had a massive impact on my research experience. I've learned new skills, networked, and gained better understanding of various fields.",Strongly Agree,Agree,Agree,1-2 hrs/wk,"My academic workload and responsibilities,My family responsibilities/commitments,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra'),Transportation to/from research site (cost or time)",,2025_12_13,1.0,2025_10_01,1.0
39,R_3eT9bQ7IrqSkw7v,Good,Very Good,Fair,Fair,No,,,,Disagree,Agree,Strongly Agree,"My job responsibilties and work hours,Too few or no positions available in my major,Too few or no positions available for students in my year,I didn't know where to look,I didn't know how to approach or reach out to a lab or researcher to join their project",,2025_10_01,2.0,3-4 hrs/week,2026_05_16,4.0,CICI,R_7uqIpeafWD5wH61,CICI,Excellent,Very Good,Excellent,Very Good,No,,,I learned what humanities research actually looks like and was able to make informed decisions about my future.,Agree,Agree,Strongly Agree,3-4 hrs/week,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments,Transportation to/from research site (cost or time)",,2026_05_16,2.0,2025_10_01,4.0
40,R_3JmEdbNHPsXLapH,Good,Good,Good,Fair,Yes,Reached out directly to a professor,,,Disagree,Somewhat Agree,Somewhat Agree,My academic workload and responsibilities,,2025_10_01,1.0,More than 5 hrs/week,2025_12_13,,Molecular Foundry,R_51yhDRJ8DqDpe3u,Molecular Foundry,Excellent,Excellent,Excellent,Excellent,Yes,,,,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,My academic workload and responsibilities,,2025_12_13,1.0,2025_10_01,
41,R_7MJNaLJkmmyPK0i,Good,Very Good,Good,Good,No,,,,Somewhat Disagree,Agree,Agree,"My academic workload and responsibilities,I did not have the skills I felt I needed to build before I could engage in research,Too few or no positions available in my major,I applied, but did not secure a position,I didn't know where to look,I didn't know how to approach or reach out to a lab or researcher to join their project",,2026_02_28,1.0,1-2 hrs/wk,2026_05_16,,CNMAT,R_1ORni2Z4zXUlYe5,CNMAT,Very Good,Good,Very Good,Good,Yes,"Reached out directly to a professor,Friend or acquaintance connected me to a research group",,Strong mentorship was helpful,Somewhat Agree,Agree,Strongly Agree,1-2 hrs/wk,My academic workload and responsibilities,,2026_05_16,1.0,2026_02_28,
42,R_7FhPcXYkN0VPnWs,Good,Good,Fair,Fair,No,,,,Agree,Agree,Agree,"My job responsibilties and work hours,Too few or no positions available in my major,I applied, but did not secure a position",,2025_10_01,2.0,More than 5 hrs/week,2026_05_16,4.0,Kavli ENSI,R_1HkO8kzYRW4ihYl,Kavli ENSI,Excellent,Excellent,Excellent,Very Good,No,,,,Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,"My job responsibilties and work hours,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,2026_05_16,2.0,2025_10_01,4.0
43,R_7A9AcdquYnIO4St,Good,Good,Fair,Fair,No,,,,Agree,Somewhat Agree,Somewhat Agree,"My job responsibilties and work hours,I didn't know where to look,I didn't know how to approach or reach out to a lab or researcher to join their project",,2025_10_01,2.0,3-4 hrs/week,2026_05_16,5.0,CICI,R_5QXV5opGxzGX9nP,CICI,Good,Fair,Fair,Very Good,No,,,I’ve made friends and learned the value of collaborative research.,Agree,Somewhat Agree,Agree,3-4 hrs/week,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments,Other",Life!,2026_05_16,2.0,2025_10_01,5.0
44,R_6ohB33HrLzhgGh2,Very Good,Very Good,Very Good,Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,,Agree,Agree,Strongly Agree,,,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,4.0,CICI,R_6dNcuGK8MRKpOs2,CICI,Excellent,Very Good,Excellent,Good,Yes,Other,,Directly relevant to my academic interest ,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"My academic workload and responsibilities,My job responsibilties and work hours",,2026_05_16,2.0,2025_10_01,4.0
45,R_6joIbMgJPkc5boC,Good,Very Good,Good,Fair,No,,,,Somewhat Agree,Agree,Agree,"My academic workload and responsibilities,I did not have the skills I felt I needed to build before I could engage in research,Too few or no positions available for students in my year,I applied, but did not secure a position,I didn't know where to look,I didn't know how to approach or reach out to a lab or researcher to join their project",,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,2.0,Kavli ENSI,R_7ekJrgDE4XfyeRW,Kavli ENSI,Very Good,Very Good,Good,Very Good,No,,,,Agree,Agree,Somewhat Agree,1-2 hrs/wk,"My academic workload and responsibilities,My job responsibilties and work hours",,2026_05_16,2.0,2025_10_01,2.0
46,R_61GRZrPshaIUXrc,Very Good,Good,Very Good,Fair,No,,,,Somewhat Agree,Agree,Agree,"My academic workload and responsibilities,I did not have the skills I felt I needed to build before I could engage in research,Too few or no positions available for students in my year,I applied, but did not secure a position,I didn't know where to look",,2025_10_01,1.0,1-2 hrs/wk,2025_12_13,2.0,Kavli ENSI,R_1gNnaOYWAwMcDhQ,Kavli ENSI,Good,Very Good,Good,Good,No,,,,Somewhat Disagree,Somewhat Agree,Agree,1-2 hrs/wk,My academic workload and responsibilities,,2025_12_13,1.0,2025_10_01,2.0
47,R_5qpXTIrKOIrQ8Md,Good,Good,Good,Good,No,,,,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,"My academic workload and responsibilities,Lack of interest,I didn't know how to approach or reach out to a lab or researcher to join their project",,2025_10_01,2.0,3-4 hrs/week,2026_05_16,4.0,Social Sciences,R_5z6YgLVcEqEeKJV,Social Sciences,Very Good,Very Good,Very Good,Very Good,Yes,"Reached out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,I learned how to work in a group and was able to work under someone who is amazing!,Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,My academic workload and responsibilities,,2026_05_16,2.0,2025_10_01,4.0
48,R_3n3c4g93P9W4BAu,Good,Good,Good,Good,No,,,,Somewhat Agree,Somewhat Agree,Somewhat Agree,"My academic workload and responsibilities,I did not have the skills I felt I needed to build before I could engage in research,Too few or no positions available in my major",,2026_02_28,1.0,More than 5 hrs/week,2026_05_16,,Molecular Foundry,R_3kvuaTZ6OT07zRn,Molecular Foundry,Very Good,Excellent,Excellent,Very Good,No,,,My new skills and experienced game allows me to move into higher impact positions and a greater career trajectory,Somewhat Agree,Agree,Somewhat Agree,More than 5 hrs/week,"My academic workload and responsibilities,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra'),Transportation to/from research site (cost or time)",,2026_05_16,1.0,2026_02_28,
49,R_3R9VbzpEUHd7fXe,Fair,Good,Good,Fair,No,,,,Somewhat Agree,Agree,Agree,"My job responsibilties and work hours,I applied, but did not secure a position,I didn't know where to look",,2025_10_01,2.0,More than 5 hrs/week,2026_05_16,4.0,Kavli ENSI,R_3dfH3sNeYVFXxVo,Kavli ENSI,Good,Good,Good,Good,No,,,This program has solidified both my plans to apply to graduate school and my plan to change majors in graduate school.,Somewhat Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,"My academic workload and responsibilities,My job responsibilties and work hours,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,2026_05_16,2.0,2025_10_01,4.0
50,R_3EAVhbnJDwH8Amn,Excellent,Excellent,Excellent,Good,No,,,,Agree,Agree,Agree,"My academic workload and responsibilities,My job responsibilties and work hours,I didn't know how to approach or reach out to a lab or researcher to join their project",,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,5.0,CICI,R_6gEOrEdqpemlkFr,CICI,Excellent,Excellent,Excellent,Excellent,No,,,Incredible. Mentor was so caring and focused and motivated us to learn more ,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,,,2026_05_16,2.0,2025_10_01,5.0
51,R_1CJgob5N2d4N49X,Excellent,Excellent,Excellent,Excellent,No,,,,Agree,Strongly Agree,Strongly Agree,"My academic workload and responsibilities,I did not have the skills I felt I needed to build before I could engage in research,I didn't know how to approach or reach out to a lab or researcher to join their project",,2025_10_01,2.0,,2026_05_16,8.0,CICI,R_6HZhAua5H3ktkq5,CICI,Excellent,Excellent,Excellent,Excellent,No,,,New skills,Agree,Strongly Agree,Strongly Agree,,,,2026_05_16,2.0,2025_10_01,8.0
52,R_1rNJUtcFKnO6R4S,Excellent,Excellent,Good,Excellent,No,,,,Somewhat Agree,Somewhat Agree,Somewhat Agree,,,2026_02_28,1.0,,2026_05_16,,KALX,R_1faciMJZreUETNs,KALX,Fair,Fair,Fair,Fair,No,,,,Somewhat Agree,,,,,,2026_05_16,1.0,2026_02_28,
53,R_6LAMJPLbnSFE8Te,,,,,,,,,,,,,,2025_10_01,2.0,More than 5 hrs/week,2026_05_16,4.0,Kavli ENSI,R_3hSGUkKzrZdSquB,Kavli ENSI,Good,Excellent,Excellent,Excellent,No,,,It made me more interested in research.,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,My academic workload and responsibilities,,2026_05_16,2.0,2025_10_01,4.0
54,R_1hN2YIouRbYsmF0,,,,,,,,,,,,,,2025_10_01,1.0,1-2 hrs/wk,2025_12_13,8.0,CICI,R_6XopCjD4DwYE8qJ,CICI,Very Good,Very Good,Very Good,Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,Gaining new insights on a current social justice issue that i would not have been exposed to or as knowledgeable about. Have an area of interest while entering into a career.,Disagree,Agree,Strongly Agree,1-2 hrs/wk,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments",,2025_12_13,1.0,2025_10_01,8.0
