,HUB_01,MOTIVATION_01,MOTIVATION_01_8_TEXT,PROFICIENCY_05,PRIOR_01,PRIOR_05,PRIOR_06,PRIOR_06_3_TEXT,PRIOR_07,BELONG_02,MENTOR_06_1,MENTOR_06_2,MENTOR_06_3,MENTOR_06_4,MENTOR_06_5,MENTOR_06_6,MENTOR_07_1,MENTOR_07_2,MENTOR_07_3,MENTOR_07_4,MENTOR_07_5,MENTOR_08,PLANS_01,PLANS_02,PLANS_02_9_TEXT,PLANS_03,INTEREST_01,INTEREST_02,INTEREST_03,INTEREST_04,INTEREST_05,INTEREST_06,TESTIMONIAL,END,TIME_IN_PROGRAM,START,CLUSTER_SIZE
28,Kavli ENSI,"To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Very Poor,No,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,I ultimately chose Discovery Hub as it was best in-line with my current research opportunities.,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,1-2 hrs/wk,"Yes, in the same group.",,,Actively appREDACTEDg,"I would be interested, but I am not eligible due to graduating this semester","Depends on graduation and various factors. If I have to continue another semester, I plan to continue with Discovery Hub.",Year long,April,June,,This has been a wonderful program! Thank you very much for the opportunity!,2025_12_13,1.0,2025_10_01,1.0
29,CICI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections",,Excellent,No,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars),Other",,"I was accepted into the program, and it's what worked best for my schedule. ",Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,1-2 hrs/wk,"Yes, in the same group.",,,Strongly considering,Yes,If I have a good experience in the program.,Year with possibility of extending into summer,March,March,,I gained more knowledge and insight into a field I didn't know about before. I also got to work with other students on the same project which was satisfying. ,2026_05_16,,,
30,Kavli ENSI,To prepare for graduate school,,Very Poor,Yes,This allows more hands on experiences allowing me to take more initiative ,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,I thought it involved special mentorship which is unique.,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,More than 5 hrs/week,"Yes, in the same group.",,,Exploring options,Yes,,Year with possibility of extending into summer,May,July,,,2026_05_16,,,4.0
31,NASA Biosciences,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Good,Yes,"Working with a professional team, PhD student, scientists ","Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,Interesting project,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,"Yes, in the same group.",,,Strongly considering,Yes,,Year long,June,July,,,2026_05_16,,,4.0
32,CICI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Excellent,Yes,I love the community Discovery Hubs provides!,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,Found PhD students doing research I was deeply interested in!,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,"Yes, in a different group.",,,Strongly considering,"I would be interested, but I am not eligible due to graduating this semester",,Year long,,,n/a graduating,great great life changing experience!,2026_05_16,,,8.0
33,Kavli ENSI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To build mentorship connections,To prepare for graduate school",,Poor,Yes,This one more engaged ,Reaching out directly to a professor,,Like this project ,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,"Yes, in the same group.",,,Generally considering,Yes,,Semester long,March,July,,,2026_05_16,2.0,2025_10_01,4.0
34,CICI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Fair,No,,Reaching out directly to a professor,,Professors are hard to reach out to!,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,"Yes, in a different group.",,,Generally considering,"I would be interested, but I am not eligible due to graduating this semester",,Year with possibility of extending into summer,May,July,,This has been such a wonderful opportunity to make friends and build research connections! Shoutout CICI!,2026_05_16,2.0,2025_10_01,5.0
35,Social Sciences,"To shape knowledge, not just consume it,To gain hands-on skills,To prepare for graduate school",,Good,Yes,Some were funded positions (rather than just based upon work study eligibility),"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,Interesting project,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"Yes, in a different group.",,,Position secured or offered accepted,"I would be interested, but I am not eligible due to graduating this semester",,Year long,May,June,,,2026_05_16,2.0,2025_10_01,4.0
36,NASA Biosciences,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Excellent,No,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,I thought it fit my views most closely ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,"Yes, in the same group.",,,Generally considering,Yes,If it was more engineering related ,Year long,June,April,,I don’t know ,2026_05_16,,,4.0
37,Kavli ENSI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests,To build mentorship connections",,Fair,Yes,"My Discovery Hub research is in the same lab as my prior research experience, so the work I am actively doing is not materially different. The Discovery Hub provides a more formal framework for mentorship and a larger community to connect with outside my lab.","Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,My mentor recommended it.,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 hrs/wk,"Yes, in the same group.",,,Position secured or offer accepted,Yes,,Semester long,May,July,,,2025_12_13,1.0,2025_10_01,2.0
38,Molecular Foundry,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Poor,Yes,"With the Discovery Hub, it's more engaging &. ""real-world"" + better/stronger relationship with mentors","Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Disagree,Agree,3-4 hrs/week,"Yes, in the same group.",,,Strongly considering,Yes,,Year with possibility of extending into summer,June,August,,"This was a great opportunity to do ""real"" research at a national lab, and to have great mentors guiding you through it. It was fun, educational, and really shaped my skills as a researcher.  ",2026_05_16,2.0,2025_10_01,
39,UCSF Anesthesia and Perioperative Care,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application)",,Very Good,Yes,This is a wet lab experience ,Reaching out directly to a professor,,I enjoy my research at UCSF,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,3-4 hrs/week,"Yes, in the same group.",,,Actively appREDACTEDg,Yes,,Year long,April,April,,,2026_05_16,,,
40,Kavli ENSI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To prepare for graduate school",,Good,No,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,Unique opportunity for research ,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 hrs/wk,No.,Other,,Position secured or offered accepted,Yes,,Year long,June,August,,,2026_05_16,,,3.0
41,Kavli ENSI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Good,No,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,"Discovery felt much more grass-roots and had much more choosing-power applied to the grad student. This permits an underserved student like myself to access research via a 1-1 connection, instead of via a resume.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,3-4 hrs/week,"Yes, in the same group.",,,Strongly considering,"I would be interested, but I am not eligible due to graduating this semester",Some form of funding not attached to being an active undergrad.,Year with possibility of extending into summer,March,June,,,2026_05_16,,,2.0
42,CICI,To make my undergraduate experience complete,,Excellent,No,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,Application process was straightforward and research was of interest ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,No.,Other,HAAS - SURF,Exploring options,Yes,,Spring with possibility of extending into summer,August,August,,,2026_05_16,2.0,2025_10_01,5.0
43,CICI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To build mentorship connections",,Fair,Yes,CICI was more interactive and structured,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,The topic! And mentor,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,No.,Government / nonprofit.,,,"I would be interested, but I am not eligible due to graduating this semester",,Year long,,,,This program was amazing. I had access to resources to explore questions and topics that are not common of accessible in a classroom setting,2026_05_16,2.0,2025_10_01,4.0
44,Kavli ENSI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Excellent,Yes,More opportunities for mentorship. ,Reaching out directly to a professor,,My mentor was involved. ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"Yes, in the same group.",,,Position secured or offered accepted,Yes,,Year long,March,April,,,2026_05_16,2.0,2025_10_01,2.0
45,CNMAT,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application)",,Poor,Yes,I got this chance of final presentation and exercise myself ,Reaching out directly to a professor,,Exercise myself,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,1-2 hrs/wk,"Yes, in the same group.",,,Actively appREDACTEDg,"I would be interested, but I am not eligible due to graduating this semester",,Semester long,April,May,,,2026_05_16,,,
46,CICI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To build mentorship connections",,Fair,No,,Reaching out directly to a professor,,The topics and freedom to work interdisciplinarily! ,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,1-2 hrs/wk,"Yes, in a different group.",,,Strongly considering,Yes,,Semester long,June,July,,Getting to work on such a specific field for so long was very valuable ,2026_05_16,,,
47,Kavli ENSI,To make my undergraduate experience complete,,Excellent,No,,Reaching out directly to a professor,,It sounded interesting ,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,"Yes, in the same group.",,,Actively appREDACTEDg,Yes,Yes,Semester long,April,March,,It was great,2026_05_16,2.0,2025_10_01,4.0
48,Kavli ENSI,To prepare for graduate school,,Good,No,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,They accepted me.,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,"Yes, in the same group.",,,Position secured or offered accepted,Yes,My mentor.,Year with possibility of extending into summer,July,August,,,2026_05_16,2.0,2025_10_01,4.0
49,Molecular Foundry,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections",,Very Good,No,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,First program to accept me,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 hrs/wk,"Yes, in the same group.",,,Position secured or offered accepted,Yes,Paid opportunities ,Year with possibility of extending into summer,May,June,,,2026_05_16,2.0,2025_10_01,
50,NASA Biosciences,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests,To build mentorship connections",,Good,No,,Reaching out directly to a professor,,I didn’t get other research opportunities ,Somewhat Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"Yes, in the same group.",,,Actively appREDACTEDg,Yes,If there was something more aligned with my major,Year long,April,April,,,2026_05_16,2.0,2025_10_01,5.0
51,CICI,To make my undergraduate experience complete,,Very Good,No,,Other,No,It was my only avenue,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,3-4 hrs/week,"Yes, in a different group.",,,Exploring options,"I would be interested, but I am not eligible due to graduating this semester",,Year long,,,,"This was the most in depth learning experience I had at Berkeley, and it profoundly changed my understanding of the University. ",2026_05_16,2.0,2025_10_01,4.0
52,Molecular Foundry,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Very Good,No,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,The opportunity I was accepted into was the most applicable to my plans and felt like it had the greatest room for growth,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,3-4 hrs/week,"Yes, in the same group.",,,Position secured or offered accepted,Yes,,Semester long,July,August,,,2026_05_16,,,
53,CICI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Very Good,No,,,,,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,1-2 hrs/wk,"Yes, in a different group.",,,Generally considering,Yes,If the mentor was more active.,Semester long,August,August,,"I appreciate this program, and I believe it will aid me in my future prospects in academia. ",2026_05_16,,,
54,Molecular Foundry,"To explore career interests,To build mentorship connections,To prepare for graduate school",,Excellent,Yes,,Reaching out directly to a professor,,The mentor and specific research experience,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,"Yes, in the same group.",,,Position secured or offer accepted,Yes,,Semester long,July,July,,"The Discovery Research Hub program was transformative for my academic and professional growth, particularly in connecting theoretical knowledge with real-world, high-stakes engineering problems.

The most special and impactful aspect of the program was the opportunity to work directly on the Micro-fluidic devices project, specifically appREDACTEDg advanced machine learning techniques to a critical aerospace challenge: modeling the performance of next-generation turbine blades.",2025_12_13,1.0,2025_10_01,
55,Molecular Foundry,"To gain hands-on skills,To explore career interests,To prepare for graduate school",,Very Good,Yes,My other research experiences were on university campuses through summer terms. It was great to be supported through a semester!,,,,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,1-2 hrs/wk,"Yes, in the same group.",,,Actively appREDACTEDg,"I would be interested, but I am not eligible due to graduating this semester",,Year with possibility of extending into summer,July,July,,,2025_12_13,1.0,2025_10_01,
56,Molecular Foundry,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests,To build mentorship connections",,Poor,No,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,Because of their commitment to intellectual development and scientific objectIvity,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,More than 5 hrs/week,"Yes, in the same group.",,,Strongly considering,Yes,School credits,Year long,,June,,,2026_05_16,1.0,2026_02_28,
57,Social Sciences,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To explore career interests,To build mentorship connections,To prepare for graduate school",,Good,No,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,It was a program I hadn't heard of before and I liked their approach of having more structure; research apprentices became very integrated into their respective projects and it never felt like we were just completing busy work. ,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,1-2 hrs/wk,"Yes, in a different group.",,,Strongly considering,Yes,,Year long,June,August,,"Over my last 2 years at Berkeley, I've struggled to find people to intellectually engage with. Many of my classes are lecture-heavy and there are few opportunities to work thoughtfully in small groups. My experience in the Discovery Research Hub was the first time I've felt like my intellectual contributions were truly valued by other people and the structure of the program was incredibly conducive to my learning. ",2026_05_16,,,4.0
58,Kavli ENSI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Excellent,Yes,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,1-2 hrs/wk,"Yes, in a different group.",,,Actively appREDACTEDg,Yes,"More related to hardware/electrical engineering
",Year long,April,June,,,2025_12_13,,,3.0
59,Kavli ENSI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Good,Yes,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,1-2 hrs/wk,"Yes, in a different group.",,,Actively appREDACTEDg,Yes,Funding would be greatly appreciated,Year with possibility of extending into summer,May,June,,,2026_05_16,,,4.0
60,Kavli ENSI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests",,Fair,Yes,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"More than zero, but less than one hour per week",,,,Exploring options,Yes,,Year long,July,August,,Discovery Hubs provided me with the opportunity to do materials physics research at a national lab starting in my very first year at Berkeley - I learned a lot both in terms of the topics I was studying as well as my future career interests regarding going into industry vs. academia. I'm very grateful for the opportunity!,2026_05_16,2.0,2025_10_01,3.0
61,NASA Biosciences,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills",,Very Good,No,,Reaching out directly to a professor,,Best program for me.,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,3-4 hrs/week,"Yes, in the same group.",,,Actively appREDACTEDg,Yes,,Year long,May,July,,,2026_05_16,2.0,2025_10_01,5.0
62,CNMAT,To make my undergraduate experience complete,,Excellent,Yes,,Reaching out directly to a professor,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"Yes, in the same group.",,,Strongly considering,Yes,,Semester long,March,March,,,2026_05_16,,,
63,Social Sciences,To gain hands-on skills,,Good,Yes,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Agree,"More than zero, but less than one hour per week",No.,"Non-academic/industry research.,Artistic / creative endeavors.,Teaching / education.",,Actively appREDACTEDg,Yes,,Semester long,July,August,,,2026_05_16,,,4.0
64,Molecular Foundry,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To build mentorship connections",,Fair,Yes,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"Yes, in the same group.",,,Position secured or offered accepted,Yes,,Year with possibility of extending into summer,June,May,,,2026_05_16,1.0,2026_02_28,
65,Social Sciences,"To make my undergraduate experience complete,To shape knowledge, not just consume it",,Fair,No,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 hrs/wk,No.,Business / consulting.,,Exploring options,Yes,,Semester long,June,July,,,2026_05_16,,,2.0
66,CICI,To make my undergraduate experience complete,,Excellent,No,,Reaching out directly to a professor,,Really loved the topic! ,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Strongly Agree,1-2 hrs/wk,No.,"Professional practice.,Teaching / education.,Government / nonprofit.",,Position secured or offered accepted,Yes,,Year long,August,August,,,2026_05_16,,,4.0
67,Molecular Foundry,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it",,Excellent,Yes,,Reaching out directly to a professor,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"Yes, in the same group.",,,Position secured or offered accepted,Yes,,Semester long,March,March,,,2026_05_16,2.0,2025_10_01,
68,CICI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Fair,Yes,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"Yes, in the same group.",,,Strongly considering,Yes,,Year with possibility of extending into summer,July,August,,,2026_05_16,,,
69,CICI,"To make my undergraduate experience complete,To build mentorship connections,To prepare for graduate school",,Very Good,No,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 hrs/wk,"Yes, in the same group.",,,Actively appREDACTEDg,Yes,,Semester long,May,July,,,2026_05_16,,,4.0
70,CNMAT,"To shape knowledge, not just consume it,To explore career interests",,Very Good,Yes,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars),Other",,,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,"More than zero, but less than one hour per week","Yes, in a different group.",,,Position secured or offered accepted,"I would be interested, but I am not eligible due to graduating this semester",,Year with possibility of extending into summer,June,August,,,2026_05_16,,,
71,UCSF Anesthesia and Perioperative Care,"To make my undergraduate experience complete,To explore career interests,To build mentorship connections,To prepare for graduate school",,Poor,Yes,The mentorship in Discovery Hubs is phenomenal,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,Because of the built in structure,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"Yes, in the same group.",,,Position secured or offered accepted,,,,,,,,2026_05_16,,,
72,CICI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To build mentorship connections,To prepare for graduate school",,Very Good,Yes,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,No.,None of the above.,,,Yes,,Year long,July,August,,,2026_05_16,,,4.0
73,CNMAT,To make my undergraduate experience complete,,Excellent,No,,Reaching out directly to a professor,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,"Yes, in the same group.",,,Strongly considering,Yes,,Year long,August,August,,,2026_05_16,,,
74,Kavli ENSI,To explore career interests,,Good,Yes,,,,,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Agree,More than 5 hrs/week,"Yes, in the same group.",,,Position secured or offered accepted,Yes,,Year with possibility of extending into summer,July,August,,,2026_05_16,,,4.0
